time,elpsec,O2Hb_1,HHb_1,TOI_1,nTHI_1,O2Hb_2,HHb_2,TOI_2,nTHI_2,O2Hb_3,HHb_3,TOI_3,nTHI_3,O2Hb_4,HHb_4,TOI_4,nTHI_4,Comment
18:25,4654.42,8.22,-8.91,71,1.002,7.25,-6.57,70,1.018,5.2,-3.13,71,0.935,3.76,-0.33,81.9,1.126,
18:25,4654.62,11.89,-6.49,71.7,1.017,8.61,-5.78,70.2,1.024,4.82,-3.82,71.9,0.918,1.98,-1.61,81.8,1.087,
18:25,4654.82,15.65,-3.47,71.8,1.03,8.26,-5.64,71.2,1.032,4.49,-4.23,70.8,0.948,0.89,-2.8,82,0.98,
18:25,4655.02,10.42,-7.11,71.2,0.998,7.3,-6.14,70.3,1.001,5.01,-3.66,70.3,0.957,2.59,-1.49,81.9,1.027,
18:25,4655.22,6.27,-9.77,70.2,1.011,5.01,-7.7,69.9,0.969,4.08,-3.8,71.3,0.923,3.22,-0.58,81.5,1.118,
18:25,4655.42,8.43,-8.38,70.8,1.005,7.3,-6.45,70.3,1.016,5.46,-3.12,72.2,0.954,3.72,-0.34,81.9,1.127,
18:25,4655.62,11.95,-5.94,71.4,1.02,8.23,-5.91,70.7,1.024,3.88,-3.8,69.7,0.897,1.38,-1.93,81.5,1.072,
18:25,4655.82,15.72,-3.09,71.8,1.033,8.2,-5.46,71.1,1.042,4.59,-4.44,72,0.949,1.29,-2.48,81.8,0.985,
18:25,4656.02,9.48,-7.2,70.2,0.993,7.45,-6.05,70.8,0.994,5.11,-3.62,71,0.946,2.66,-1.32,81.7,1.045,
18:25,4656.22,5.5,-9.87,69.7,0.992,4.78,-7.57,69.5,0.97,3.81,-3.58,70.1,0.927,3.2,-0.52,81.5,1.127,
18:25,4656.42,8.86,-7.69,70.7,1.008,7.84,-5.76,69.5,1.029,5.05,-2.95,70.5,0.94,3.53,-0.51,81.9,1.128,
18:25,4656.62,12.49,-5.17,71.3,1.021,8.23,-5.72,70.3,1.025,4.22,-3.97,71.3,0.913,1.01,-2.28,81.6,1.044,
18:25,4656.82,14.82,-3.29,71.9,1.017,7.69,-5.42,70.6,1.033,4.29,-3.94,69.2,0.944,1.91,-1.96,81.8,0.992,
18:25,4657.02,6.85,-8.69,69.9,0.991,7.04,-6.03,70.1,0.987,4.83,-3.56,70.9,0.928,2.63,-1.09,81.3,1.075,
18:25,4657.22,5.4,-9.56,69.4,0.995,4.9,-7.44,69.3,0.983,3.64,-3.22,68.5,0.926,3.48,-0.34,81.7,1.128,
18:25,4657.42,9.08,-6.95,70,1.008,7.77,-5.55,69.3,1.02,4.85,-3.16,71.2,0.94,2.86,-0.91,81.8,1.12,
18:25,4657.62,13.44,-3.95,71.4,1.017,7.94,-5.45,70.4,1.025,3.79,-4.04,70.2,0.921,0.53,-2.63,81.4,1.016,
18:25,4657.82,12.61,-4.33,70.9,0.999,7.19,-5.67,70.5,1.015,4.45,-4,70.3,0.946,2.48,-1.49,81.8,1.004,
18:25,4658.02,5.09,-9.22,69,0.993,5.39,-6.63,69.5,0.969,4.03,-3.33,70.1,0.932,2.67,-0.89,81.3,1.095,
18:25,4658.22,5.94,-8.64,69.5,1,5.08,-7.01,68.7,0.993,3.7,-3.26,69.7,0.919,3.6,-0.26,81.8,1.127,
18:25,4658.42,9.78,-5.96,70.1,1.011,7.51,-5.65,69.8,1.028,3.55,-3.29,69,0.916,2,-1.34,81.4,1.103,
18:25,4658.62,13.88,-3.01,71.2,1.018,7.55,-5.12,69.7,1.032,3.4,-4.44,70.4,0.903,0.67,-2.59,81.3,0.992,
18:25,4658.82,9.02,-6.21,69.8,0.983,6.4,-5.81,69.6,0.993,3.85,-3.52,68.4,0.939,2.37,-1.39,81.5,1.023,
18:25,4659.02,4.3,-9.2,68.5,0.991,4.16,-7.13,68.4,0.967,3.22,-3.35,69.3,0.915,3.04,-0.56,81.4,1.121,
18:25,4659.22,6.76,-7.51,69.1,0.995,6.27,-5.89,68.6,1.016,4.03,-3.34,70.9,0.893,3.41,-0.45,81.8,1.128,
18:25,4659.42,10.59,-4.64,69.7,1.01,7.2,-5.34,69,1.019,2.91,-3.46,68,0.893,1.02,-2.08,81.3,1.056,
18:25,4659.61,13.68,-2.54,71,1.018,7.02,-5.2,70.5,1.021,3.59,-4.45,70.7,0.904,1.63,-1.99,81.5,0.99,
18:25,4659.82,6.04,-7.53,68.5,0.989,5.52,-5.89,68.3,0.982,3.91,-3.36,69.8,0.921,2.49,-1.08,81.2,1.07,
18:25,4660.02,4.29,-8.49,67.9,0.98,3.89,-7.04,68.1,0.976,3.09,-3.41,70.2,0.916,3.41,-0.29,81.5,1.121,
18:25,4660.22,8.11,-5.9,68.9,1.004,6.75,-5.24,68.2,1.016,3.94,-3.08,70.8,0.908,2.88,-0.77,81.6,1.115,
18:25,4660.42,12.52,-2.66,69.8,1.017,7,-4.76,68.4,1.03,3.2,-4.06,70.6,0.906,0.54,-2.5,81.1,1.014,
18:25,4660.61,10.69,-3.81,69.5,0.99,6.05,-5.36,69.3,1.004,3.63,-4.22,71.2,0.914,2.13,-1.5,81.4,1.008,
18:25,4660.82,5.16,-7.11,67.3,1.007,3.77,-6.66,67.9,0.962,2.9,-3.4,70.2,0.919,2.77,-0.74,81.3,1.088,
18:25,4661.02,5.51,-7.17,67.9,0.997,5.07,-5.92,67.3,1.005,3.81,-3.01,71.3,0.916,3.65,-0.14,81.6,1.123,
18:25,4661.21,8.93,-4.6,69,1.018,6.41,-4.97,67.4,1.017,3.04,-3.26,70.1,0.91,1.62,-1.42,81.2,1.095,
18:25,4661.41,13.01,-1.53,69.5,1.02,6.71,-4.55,68.9,1.027,3.36,-4.15,71.4,0.928,0.59,-2.51,81.1,0.992,
18:25,4661.61,9.13,-4.25,68.7,0.991,5.74,-5.05,68.4,1,3.81,-3.8,71.3,0.93,2.31,-1.3,81.2,1.028,
18:25,4661.81,4.01,-7.32,67.1,1.011,3.26,-6.42,66.5,0.973,2.9,-3.36,71.2,0.917,3.02,-0.44,81.1,1.121,
18:25,4662.01,5.76,-6.32,67.8,1.006,5.47,-5.46,67.3,1.011,3.72,-2.59,70.3,0.937,3.49,-0.21,81.5,1.121,
18:25,4662.21,9.57,-3.35,68.4,1.023,6.64,-4.54,67.2,1.032,2.86,-3.41,70.5,0.897,1.25,-1.63,80.8,1.087,
18:25,4662.41,12.93,-1,69.6,1.014,6.22,-4.03,67.6,1.032,3.47,-4.02,71.2,0.932,1.17,-2.1,81.1,0.992,
18:25,4662.61,6.97,-4.72,67.3,0.997,5.02,-5.06,67.3,0.987,3.47,-3.52,71.4,0.922,2.29,-1.09,80.9,1.051,
18:25,4662.81,4.55,-6.4,67,1.018,3.76,-6.01,66.6,0.985,2.6,-3.31,70.5,0.918,3.39,-0.21,81.2,1.123,
18:25,4663.01,6.69,-4.9,67.3,1.027,6.38,-4.52,67.2,1.03,3.47,-2.82,70.7,0.926,3.14,-0.42,81.3,1.129,
18:25,4663.21,10.22,-2.06,67.8,1.019,6.39,-4.17,67,1.022,3.02,-3.58,71.7,0.901,0.68,-2.09,80.8,1.056,
18:25,4663.41,11.77,-1.1,68.8,1.021,5.8,-3.87,67.7,1.028,3.11,-3.61,68.9,0.929,1.62,-1.79,81.1,0.998,
18:25,4663.61,5.85,-4.59,66.5,1.004,4.01,-5.25,66.4,0.971,2.65,-2.85,68,0.922,2.32,-0.99,80.8,1.074,
18:25,4663.81,3.81,-6.17,66.5,1.007,3.27,-5.92,65.8,0.985,2.76,-2.57,68.7,0.931,3.59,-0.03,81.3,1.131,
18:25,4664.01,6.23,-4.42,66.7,1.017,5.98,-4.23,66.2,1.019,3.54,-2.62,70.2,0.935,2.72,-0.73,81.3,1.118,
18:25,4664.21,9.91,-1.8,67.9,1.025,6.31,-3.96,66.6,1.029,2.59,-3.09,68.3,0.901,0.46,-2.38,80.9,1.041,
18:25,4664.41,11.55,-0.63,68.9,1.021,5.56,-3.82,67.6,1.02,3.39,-3.76,70.2,0.936,1.14,-2.04,80.8,0.991,
